"Tabela 6579 - População residente estimada"
"Município","Ano","Variável"
"Município","Ano","População residente estimada (Pessoas)"
"Fortaleza dos Nogueiras (MA)","2018","12615"
"Fortuna (MA)","2018","15536"
"Godofredo Viana (MA)","2018","11672"
"Gonçalves Dias (MA)","2018","17924"
"Governador Archer (MA)","2018","10793"
"Governador Edison Lobão (MA)","2018","18068"
"Governador Eugênio Barros (MA)","2018","16772"
"Governador Luiz Rocha (MA)","2018","7772"
"Governador Newton Bello (MA)","2018","10211"
"Governador Nunes Freire (MA)","2018","25616"
"Graça Aranha (MA)","2018","6263"
"Grajaú (MA)","2018","68876"
"Guimarães (MA)","2018","12063"
"Humberto de Campos (MA)","2018","28498"
"Icatu (MA)","2018","26953"
"Igarapé do Meio (MA)","2018","14026"
"Igarapé Grande (MA)","2018","11252"
"Imperatriz (MA)","2018","258016"
"Itaipava do Grajaú (MA)","2018","15897"
"Itapecuru Mirim (MA)","2018","67673"
"Itinga do Maranhão (MA)","2018","25932"
"Jatobá (MA)","2018","9993"
"Jenipapo dos Vieiras (MA)","2018","16432"
"João Lisboa (MA)","2018","23696"
"Joselândia (MA)","2018","16136"
"Junco do Maranhão (MA)","2018","3506"
"Lago da Pedra (MA)","2018","49911"
"Lago do Junco (MA)","2018","10808"
"Lago Verde (MA)","2018","16199"
"Lagoa do Mato (MA)","2018","11235"
"Lago dos Rodrigues (MA)","2018","8889"
"Lagoa Grande do Maranhão (MA)","2018","11320"
"Lajeado Novo (MA)","2018","7496"
"Lima Campos (MA)","2018","11867"
"Loreto (MA)","2018","12098"
"Luís Domingues (MA)","2018","6917"
"Magalhães de Almeida (MA)","2018","19620"
"Maracaçumé (MA)","2018","21201"
"Marajá do Sena (MA)","2018","7810"
"Maranhãozinho (MA)","2018","16013"
"Mata Roma (MA)","2018","16679"
"Matinha (MA)","2018","23256"
"Matões (MA)","2018","33615"
"Matões do Norte (MA)","2018","16451"
"Milagres do Maranhão (MA)","2018","8445"
"Mirador (MA)","2018","21000"
"Miranda do Norte (MA)","2018","28001"
"Mirinzal (MA)","2018","14913"
"Monção (MA)","2018","33201"
"Montes Altos (MA)","2018","9209"
"Morros (MA)","2018","19292"
"Nina Rodrigues (MA)","2018","14264"
"Nova Colinas (MA)","2018","5340"
"Nova Iorque (MA)","2018","4683"
"Nova Olinda do Maranhão (MA)","2018","20774"
"Olho d'Água das Cunhãs (MA)","2018","19448"
"Olinda Nova do Maranhão (MA)","2018","14563"
"Paço do Lumiar (MA)","2018","120621"
"Palmeirândia (MA)","2018","19661"
