"Tabela 2030 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal - Resultados Gerais da Amostra"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Município","Ano","Classes de rendimento nominal mensal"
"Município","Ano","Total","Até 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 20 salários mínimos","Mais de 20 salários mínimos","Sem rendimento"
"Bariri (SP)","2010","27402","5160","8774","2728","2076","1191","224","115","7135"
"Barra Bonita (SP)","2010","31427","5658","9009","3266","2708","1744","446","176","8419"
"Barra do Chapéu (SP)","2010","4366","1987","560","120","75","44","28","2","1551"
"Barra do Turvo (SP)","2010","6368","2260","1040","302","227","98","17","3","2421"
"Barretos (SP)","2010","98249","19937","28328","10577","7835","4922","1324","698","24627"
"Barrinha (SP)","2010","23844","5186","5952","3148","1697","831","111","72","6848"
"Barueri (SP)","2010","204324","29181","55254","18946","14014","9090","3923","3375","70541"
"Bastos (SP)","2010","17557","4609","5500","1502","888","348","91","51","4568"
"Batatais (SP)","2010","49369","9388","12308","5757","4322","2380","711","282","14222"
"Bauru (SP)","2010","300962","47830","79801","33301","28325","19365","6950","3137","82252"
"Bebedouro (SP)","2010","65763","14073","18569","6154","4820","2618","940","451","18138"
"Bento de Abreu (SP)","2010","2310","465","649","277","192","44","11","3","669"
"Bernardino de Campos (SP)","2010","9445","2983","2639","711","478","262","80","26","2265"
"Bertioga (SP)","2010","39395","7751","10904","4159","2737","1862","336","153","11493"
"Bilac (SP)","2010","6327","1721","2108","609","451","258","65","19","1096"
"Birigui (SP)","2010","95444","18025","36849","8999","6273","3932","735","442","20188"
"Biritiba Mirim (SP)","2010","24118","7663","5540","1780","1112","607","105","121","7189"
"Boa Esperança do Sul (SP)","2010","11576","2909","3429","874","630","228","71","29","3405"
"Bocaina (SP)","2010","9404","2025","3115","1039","716","389","66","33","2020"
"Bofete (SP)","2010","8187","2325","2040","574","466","239","55","20","2467"
"Boituva (SP)","2010","41424","7386","11478","4739","3329","2130","604","231","11527"
"Bom Jesus dos Perdões (SP)","2010","16769","3010","4534","1381","1003","467","151","22","6202"
"Bom Sucesso de Itararé (SP)","2010","2918","1160","566","134","55","25","-","3","974"
"Borá (SP)","2010","721","134","280","67","36","4","2","3","196"
"Boracéia (SP)","2010","3662","702","1208","395","248","126","30","10","942"
"Borborema (SP)","2010","12681","3949","3720","1058","673","391","50","28","2813"
"Borebi (SP)","2010","1941","429","697","140","66","43","8","3","553"
"Botucatu (SP)","2010","110647","18437","26847","11730","11119","7113","2296","1032","32074"
"Bragança Paulista (SP)","2010","128454","22809","35692","12456","9616","6728","2025","1060","38067"
"Braúna (SP)","2010","4395","1112","1423","397","248","152","16","25","1022"
"Brejo Alegre (SP)","2010","2232","638","784","154","95","44","6","6","505"
"Brodowski (SP)","2010","18266","3873","5357","1856","1182","797","253","56","4891"
"Brotas (SP)","2010","18649","4104","5297","2062","1308","694","113","51","5021"
"Buri (SP)","2010","15234","5432","2885","676","533","171","61","34","5444"
"Buritama (SP)","2010","13512","3647","3560","1331","954","549","152","41","3279"
"Buritizal (SP)","2010","3570","949","777","386","281","152","62","12","951"
"Cabrália Paulista (SP)","2010","3727","979","1198","228","118","70","17","-","1115"
"Cabreúva (SP)","2010","34804","5627","10620","3654","2550","1314","407","41","10592"
"Caçapava (SP)","2010","72988","12917","16693","6747","6147","4471","1212","482","24319"
"Cachoeira Paulista (SP)","2010","25933","5883","6165","1997","1919","1184","352","67","8367"
"Caconde (SP)","2010","15909","5968","3517","885","732","480","114","47","4167"
"Cafelândia (SP)","2010","14491","3499","4127","1240","722","449","83","55","4315"
"Caiabu (SP)","2010","3586","911","1071","304","172","40","8","8","1074"
"Caieiras (SP)","2010","73504","11990","19921","7625","6160","3645","982","263","22918"
"Caiuá (SP)","2010","4398","1627","865","263","123","83","26","6","1404"
"Cajamar (SP)","2010","53921","8040","15246","4998","3470","1808","341","118","19901"
"Cajati (SP)","2010","23397","6785","4846","1311","1211","469","87","46","8643"
"Cajobi (SP)","2010","8581","2328","2646","824","541","203","43","4","1992"
"Cajuru (SP)","2010","20025","4996","5797","1934","1065","512","34","49","5638"
"Campina do Monte Alegre (SP)","2010","4725","1584","1123","282","202","69","12","10","1443"
"Campinas (SP)","2010","949924","114795","220824","104499","95306","78047","34887","16775","284791"
"Campo Limpo Paulista (SP)","2010","63229","9417","17237","7165","5803","3244","592","122","19648"
"Campos do Jordão (SP)","2010","40576","8427","13710","3459","2114","1163","375","216","11112"
"Campos Novos Paulista (SP)","2010","3837","1180","963","283","175","59","10","3","1163"
"Cananéia (SP)","2010","10234","2694","2248","718","496","308","64","18","3689"
"Canas (SP)","2010","3608","1085","799","231","143","60","14","-","1276"
"Cândido Mota (SP)","2010","25970","7043","6780","2331","1387","882","130","38","7379"
"Cândido Rodrigues (SP)","2010","2375","586","864","216","118","51","13","15","513"
"Canitar (SP)","2010","3548","881","1007","290","154","65","7","-","1145"
"Capão Bonito (SP)","2010","38871","13090","8296","2335","1844","1092","238","83","11893"
"Capela do Alto (SP)","2010","14855","4460","4305","1077","660","238","59","12","4046"
"Capivari (SP)","2010","41587","6834","13243","4240","3078","1728","534","165","11765"
"Caraguatatuba (SP)","2010","86158","17764","22554","7830","5809","3840","996","337","27027"
"Carapicuíba (SP)","2010","312598","44261","87034","31500","21374","9861","2248","889","115433"
"Cardoso (SP)","2010","10347","3355","2544","755","571","280","29","15","2798"
"Casa Branca (SP)","2010","24857","5543","5595","2043","1594","1041","148","63","8830"
"Cássia dos Coqueiros (SP)","2010","2293","780","613","116","107","50","14","2","611"
"Castilho (SP)","2010","15543","3929","3321","1391","747","426","116","20","5592"
"Catanduva (SP)","2010","99996","18124","29803","10849","8809","5229","1461","751","24970"
"Catiguá (SP)","2010","6201","1211","1675","816","534","142","54","39","1730"
"Cedral (SP)","2010","7037","1310","2050","754","549","342","83","33","1915"
"Cerqueira César (SP)","2010","14928","3601","4087","1377","1080","477","92","38","4177"
"Cerquilho (SP)","2010","34529","5219","11771","4295","3337","1549","342","210","7804"
"Cesário Lange (SP)","2010","13453","2912","3971","1201","758","434","83","34","4060"
"Charqueada (SP)","2010","12972","2523","3344","1546","1058","515","69","27","3890"
"Clementina (SP)","2010","6013","1379","1858","789","420","102","23","9","1433"
"Colina (SP)","2010","15108","3605","4304","1537","929","531","121","47","4033"
"Colômbia (SP)","2010","5177","1325","1372","567","223","92","29","12","1556"
"Conchal (SP)","2010","21532","4497","6772","1592","1215","575","100","50","6730"
"Conchas (SP)","2010","13938","3385","4132","1054","814","516","126","53","3858"
"Cordeirópolis (SP)","2010","18079","2319","4704","2548","1788","870","272","81","5497"
"Coroados (SP)","2010","4547","1169","1608","388","236","121","6","15","1005"
"Coronel Macedo (SP)","2010","4287","1533","918","254","150","63","20","5","1345"
"Corumbataí (SP)","2010","3358","786","1017","345","194","100","33","17","865"
"Cosmópolis (SP)","2010","50073","7124","10553","5871","5256","2681","568","161","17859"
"Cosmorama (SP)","2010","6464","2136","1827","520","288","132","19","18","1524"
"Cotia (SP)","2010","170079","25677","44065","16042","13099","9759","3943","2233","55260"
"Cravinhos (SP)","2010","27390","5365","7985","3190","2116","1090","257","78","7309"
"Cristais Paulista (SP)","2010","6525","1607","2065","598","382","186","42","19","1626"
"Cruzália (SP)","2010","2026","618","531","170","101","28","6","13","559"
"Cruzeiro (SP)","2010","66693","14606","14198","6390","5356","2685","884","324","22249"
"Cubatão (SP)","2010","100493","15884","23772","11860","7868","3952","814","142","36200"
"Cunha (SP)","2010","18999","8109","3260","844","631","312","87","101","5655"
"Descalvado (SP)","2010","27355","5419","7557","2936","2099","1195","320","109","7719"
"Diadema (SP)","2010","328590","49851","96392","32213","24322","11686","2338","541","111248"
"Dirce Reis (SP)","2010","1502","540","437","120","58","8","14","-","325"
"Divinolândia (SP)","2010","10037","3906","2458","652","430","292","46","54","2199"
"Dobrada (SP)","2010","6646","1398","2069","723","364","188","15","9","1880"
"Dois Córregos (SP)","2010","21255","4697","5934","2006","1448","763","179","76","6152"
"Dolcinópolis (SP)","2010","1858","617","605","153","87","40","2","4","350"
"Dourado (SP)","2010","7612","1807","2517","829","477","208","42","12","1720"
"Dracena (SP)","2010","38699","9994","10355","3581","3231","1577","545","148","9268"
"Duartina (SP)","2010","10803","3321","3072","815","654","423","73","18","2427"
"Dumont (SP)","2010","7031","1407","2026","820","561","275","60","-","1883"
"Echaporã (SP)","2010","5474","1615","1440","374","268","179","38","16","1544"
"Eldorado (SP)","2010","12085","4291","2101","442","451","260","46","-","4495"
"Elias Fausto (SP)","2010","13513","2590","3952","1508","686","315","49","30","4383"
"Elisiário (SP)","2010","2773","648","810","394","210","38","3","2","668"
"Embaúba (SP)","2010","2131","601","643","273","161","37","11","6","399"
"Embu das Artes (SP)","2010","201615","32995","59764","18238","9746","4273","1141","346","75112"
"Embu-Guaçu (SP)","2010","53079","11631","13494","4462","3160","1473","413","215","18230"
"Emilianópolis (SP)","2010","2659","931","746","215","114","51","18","2","582"
"Engenheiro Coelho (SP)","2010","13148","2953","4110","1030","807","571","153","38","3487"
"Espírito Santo do Pinhal (SP)","2010","37020","7451","11550","3564","2730","1637","518","210","9360"
"Espírito Santo do Turvo (SP)","2010","3540","877","1128","347","151","46","10","5","974"
"Estrela d'Oeste (SP)","2010","7268","1966","2301","605","325","273","25","7","1766"
"Estrela do Norte (SP)","2010","2279","551","582","211","109","52","9","2","764"
"Euclides da Cunha Paulista (SP)","2010","8129","2371","1855","651","308","127","41","10","2766"
"Fartura (SP)","2010","13276","4179","3796","899","760","321","74","29","3218"
"Fernandópolis (SP)","2010","57653","13593","16922","5433","4342","2915","783","311","13352"
"Fernando Prestes (SP)","2010","4927","1249","1657","522","361","136","60","24","919"
"Fernão (SP)","2010","1357","491","379","52","49","23","4","-","359"
"Ferraz de Vasconcelos (SP)","2010","141331","26456","40231","11550","7974","3352","678","132","50958"
"Flora Rica (SP)","2010","1581","448","407","122","53","22","1","2","525"
"Floreal (SP)","2010","2743","910","719","273","185","66","7","1","581"
"Flórida Paulista (SP)","2010","11294","2911","2349","1034","663","261","67","12","3997"
"Florínea (SP)","2010","2465","766","588","163","103","43","10","6","786"
"Franca (SP)","2010","274418","45637","96462","27216","19613","12143","3377","1496","68473"
"Francisco Morato (SP)","2010","127838","24495","36900","9121","5015","2224","255","20","49808"
"Franco da Rocha (SP)","2010","111836","17314","28742","10555","6833","3378","555","137","44322"
"Gabriel Monteiro (SP)","2010","2412","682","876","229","149","55","9","9","403"
"Gália (SP)","2010","6160","1972","1799","378","241","129","26","9","1606"
"Garça (SP)","2010","37643","9549","10736","2988","2274","1250","559","166","10121"
"Gastão Vidigal (SP)","2010","3641","884","1216","448","169","114","24","11","774"
"Gavião Peixoto (SP)","2010","3763","797","1218","377","212","86","7","-","1066"
"General Salgado (SP)","2010","9479","2664","2483","934","603","333","90","49","2322"
"Getulina (SP)","2010","9459","2239","2272","617","407","251","30","20","3625"
"Glicério (SP)","2010","3954","1123","1209","367","194","72","10","27","951"
"Guaiçara (SP)","2010","9133","1919","2941","944","543","217","37","7","2525"
"Guaimbê (SP)","2010","4634","1392","1358","395","169","61","16","6","1236"
"Guaíra (SP)","2010","32478","7156","7615","3621","2542","1215","228","202","9900"
"Guapiaçu (SP)","2010","15711","2802","5204","1781","980","490","166","32","4255"
"Guapiara (SP)","2010","15166","5851","2391","566","333","224","32","53","5715"
"Guará (SP)","2010","16595","4493","4224","1357","1054","476","166","44","4781"
"Guaraçaí (SP)","2010","7480","2175","1959","580","454","166","50","4","2093"
"Guaraci (SP)","2010","8503","2319","2295","982","446","247","37","18","2159"
"Guarani d'Oeste (SP)","2010","1718","639","449","100","89","35","5","2","398"
"Guarantã (SP)","2010","5422","1495","1658","338","228","141","25","13","1525"
"Guararapes (SP)","2010","26873","7110","7446","2443","1818","893","248","107","6808"
"Guararema (SP)","2010","22197","4398","5955","1851","1351","766","227","123","7528"
"Guaratinguetá (SP)","2010","98246","19425","24003","7955","6881","5815","1971","803","31393"
"Guareí (SP)","2010","12942","3978","2907","656","442","169","46","40","4704"
"Guariba (SP)","2010","30187","6061","7345","3295","2434","925","149","87","9892"
"Guarujá (SP)","2010","246323","45320","60241","23645","17247","9441","2826","1046","86556"
"Guarulhos (SP)","2010","1034230","155071","266880","103603","77392","50853","13947","5313","361169"
"Guatapará (SP)","2010","5906","1242","1548","505","327","148","57","27","2051"
"Guzolândia (SP)","2010","4083","1625","999","195","167","40","6","11","1041"
"Herculândia (SP)","2010","7448","2464","1590","537","369","160","29","15","2283"
"Holambra (SP)","2010","9704","1329","3394","929","686","719","386","139","2123"
"Hortolândia (SP)","2010","164679","24547","46585","17648","11862","5755","853","253","57176"
"Iacanga (SP)","2010","8741","1707","2903","862","667","286","84","16","2217"
"Iacri (SP)","2010","5603","1884","1555","446","283","124","15","13","1283"
"Iaras (SP)","2010","5564","893","880","253","217","81","20","3","3217"
"Ibaté (SP)","2010","26061","5201","7403","2590","1288","477","73","-","9030"
"Ibirá (SP)","2010","9603","2496","2963","981","578","305","79","52","2149"
"Ibirarema (SP)","2010","5760","1501","1568","546","299","128","19","11","1688"
"Ibitinga (SP)","2010","46663","8997","18347","4341","2619","1361","299","305","10393"
"Ibiúna (SP)","2010","60403","19168","14609","4288","2575","1499","543","199","17522"
"Icém (SP)","2010","6426","1467","1647","736","402","221","71","15","1866"
"Iepê (SP)","2010","6630","1944","1685","513","331","148","62","16","1931"
"Igaraçu do Tietê (SP)","2010","20089","4098","6098","2142","1259","445","68","10","5968"
"Igarapava (SP)","2010","24200","5968","6710","2500","1733","839","238","137","6074"
"Igaratá (SP)","2010","7515","1967","2188","507","329","140","72","4","2309"
"Iguape (SP)","2010","24378","7876","4345","1688","1333","613","146","73","8304"
"Ilhabela (SP)","2010","23659","4387","7573","2370","1535","1015","352","89","6337"
"Ilha Comprida (SP)","2010","7775","1935","1588","633","571","248","40","-","2760"
"Ilha Solteira (SP)","2010","22384","4344","4974","2295","2340","1461","620","198","6151"
