"Tabela 1685 - Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal"
"Município","Ano","Variável"
"Município","Ano","Número de unidades locais (Unidades)","Número de empresas e outras organizações atuantes (Unidades)","Pessoal ocupado total (Pessoas)","Pessoal ocupado assalariado (Pessoas)","Pessoal assalariado médio (Pessoas)","Salários e outras remunerações (Mil Reais)","Salário médio mensal (Salários mínimos)","Salário médio mensal em reais (Reais)"
"Rondon do Pará (PA)","2018","526","525","3638","3202","3231.91","89957","2.2","2141.09"
"Rurópolis (PA)","2018","195","195","2150","1858","2003.40","50466","2.0","1937.70"
"Salinópolis (PA)","2018","440","426","4290","3785","3794.26","84479","1.8","1712.69"
"Salvaterra (PA)","2018","113","109","1465","1355","1311.61","25630","1.6","1503.16"
"Santa Bárbara do Pará (PA)","2018","114","111","3038","2919","2746.17","51731","1.5","1449.04"
"Santa Cruz do Arari (PA)","2018","19","18","335","326","328.26","7089","1.7","1661.29"
"Santa Izabel do Pará (PA)","2018","469","457","8622","8104","7916.68","180005","1.8","1749.03"
"Santa Luzia do Pará (PA)","2018","76","75","1240","1154","1095.99","25666","1.9","1801.41"
"Santa Maria das Barreiras (PA)","2018","128","120","1509","1360","1651.11","40665","2.0","1894.51"
"Santa Maria do Pará (PA)","2018","190","187","2201","1991","1916.84","35874","1.5","1439.65"
"Santana do Araguaia (PA)","2018","452","438","4162","3647","3651.68","99479","2.2","2095.53"
"Santarém (PA)","2018","4417","4120","47503","41688","41917.35","1129594","2.2","2072.93"
"Santarém Novo (PA)","2018","21","19","306","289","531.66","10206","1.5","1476.61"
"Santo Antônio do Tauá (PA)","2018","159","154","1949","1769","1689.77","43551","2.1","1982.55"
"São Caetano de Odivelas (PA)","2018","60","60","764","719","725.23","19124","2.1","2028.43"
"São Domingos do Araguaia (PA)","2018","200","198","1758","1547","1551.25","34468","1.8","1709.19"
"São Domingos do Capim (PA)","2018","92","89","2179","2086","1956.18","45926","1.9","1805.97"
"São Félix do Xingu (PA)","2018","544","536","5052","4186","4425.58","128747","2.3","2237.82"
"São Francisco do Pará (PA)","2018","79","77","1105","1021","1012.42","23246","1.9","1766.18"
"São Geraldo do Araguaia (PA)","2018","273","268","2914","2581","2591.47","56480","1.8","1676.51"
"São João da Ponta (PA)","2018","13","13","315","307","296.26","5842","1.6","1516.86"
"São João de Pirabas (PA)","2018","87","84","1414","1327","1331.80","31798","1.9","1836.61"
"São João do Araguaia (PA)","2018","52","52","699","667","652.89","17688","2.2","2083.98"
"São Miguel do Guamá (PA)","2018","387","375","5504","5079","5166.81","102265","1.6","1522.51"
"São Sebastião da Boa Vista (PA)","2018","71","68","1242","1181","1455.91","35581","2.0","1879.93"
"Sapucaia (PA)","2018","51","46","619","579","598.73","12740","1.7","1636.80"
"Senador José Porfírio (PA)","2018","51","51","720","683","694.08","19968","2.3","2213.02"
"Soure (PA)","2018","167","162","1509","1351","1333.17","32180","1.9","1856.78"
"Tailândia (PA)","2018","669","659","11930","11084","10459.46","233131","1.8","1714.54"
"Terra Alta (PA)","2018","43","42","623","583","591.34","12440","1.7","1618.22"
"Terra Santa (PA)","2018","149","142","1609","1456","1424.52","32262","1.8","1742.15"
"Tomé-Açu (PA)","2018","615","595","8573","7906","7473.10","157656","1.7","1622.81"
"Tracuateua (PA)","2018","67","67","1508","1442","1341.94","37131","2.2","2128.42"
"Trairão (PA)","2018","105","101","1054","946","1117.01","28327","2.0","1950.74"
"Tucumã (PA)","2018","567","563","5023","4528","5076.91","117266","1.9","1776.76"
