"Tabela 1685 - Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal"
"Município","Ano","Variável"
"Município","Ano","Número de unidades locais (Unidades)","Número de empresas e outras organizações atuantes (Unidades)","Pessoal ocupado total (Pessoas)","Pessoal ocupado assalariado (Pessoas)","Pessoal assalariado médio (Pessoas)","Salários e outras remunerações (Mil Reais)","Salário médio mensal (Salários mínimos)","Salário médio mensal em reais (Reais)"
"Riacho dos Machados (MG)","2018","79","78","1380","1307","1393.60","62381","3.6","3443.29"
"Ribeirão das Neves (MG)","2018","2810","2677","28774","25404","25999.59","642157","2.0","1899.90"
"Ribeirão Vermelho (MG)","2018","109","105","887","747","751.84","15797","1.7","1616.25"
"Rio Acima (MG)","2018","391","391","2072","1530","1568.10","46121","2.4","2262.48"
"Rio Casca (MG)","2018","407","400","2057","1609","1649.23","33571","1.6","1565.80"
"Rio Doce (MG)","2018","46","45","360","322","308.31","7489","2.0","1868.56"
"Rio do Prado (MG)","2018","55","53","448","395","418.05","7765","1.5","1428.84"
"Rio Espera (MG)","2018","74","73","397","322","347.37","6615","1.5","1464.85"
"Rio Manso (MG)","2018","111","108","684","542","562.91","11327","1.6","1547.90"
"Rio Novo (MG)","2018","302","293","1211","903","967.31","18863","1.6","1500.00"
"Rio Paranaíba (MG)","2018","368","358","2827","2264","2493.53","66758","2.2","2059.41"
"Rio Pardo de Minas (MG)","2018","495","484","2438","1985","1910.53","36652","1.5","1475.72"
"Rio Piracicaba (MG)","2018","281","280","2486","2154","2062.62","58003","2.3","2163.17"
"Rio Pomba (MG)","2018","622","607","3877","3125","3083.60","94464","2.5","2356.48"
"Rio Preto (MG)","2018","110","108","681","581","590.65","10197","1.4","1327.97"
"Rio Vermelho (MG)","2018","269","267","1124","845","843.96","15559","1.5","1418.17"
"Ritápolis (MG)","2018","103","101","572","454","474.47","9978","1.7","1617.66"
"Rochedo de Minas (MG)","2018","42","40","467","434","378.95","7086","1.5","1438.40"
"Rodeiro (MG)","2018","298","288","4610","4173","3533.28","77002","1.8","1676.41"
"Romaria (MG)","2018","82","80","509","440","457.40","10465","1.8","1759.95"
"Rosário da Limeira (MG)","2018","94","92","677","576","587.59","11080","1.5","1450.45"
"Rubelita (MG)","2018","74","74","524","475","528.02","9393","1.4","1368.35"
"Rubim (MG)","2018","101","101","685","594","660.21","14182","1.7","1652.37"
"Sabará (MG)","2018","1640","1565","23249","21108","19268.30","604775","2.5","2414.39"
"Sabinópolis (MG)","2018","277","270","1564","1165","1218.45","25041","1.7","1580.87"
"Sacramento (MG)","2018","908","884","6503","5353","5353.86","136555","2.1","1962.00"
"Salinas (MG)","2018","1258","1206","6571","5072","5176.78","105862","1.6","1573.02"
"Salto da Divisa (MG)","2018","70","67","612","561","702.25","17893","2.1","1959.95"
"Santa Bárbara (MG)","2018","685","667","6048","5351","5388.36","170929","2.6","2440.14"
"Santa Bárbara do Leste (MG)","2018","109","109","655","537","576.76","11632","1.6","1551.38"
"Santa Bárbara do Monte Verde (MG)","2018","36","35","346","305","309.67","5927","1.5","1472.41"
"Santa Bárbara do Tugúrio (MG)","2018","68","67","475","392","467.26","9456","1.6","1556.78"
"Santa Cruz de Minas (MG)","2018","214","212","1164","910","926.54","17325","1.5","1438.38"
"Santa Cruz de Salinas (MG)","2018","64","64","320","280","329.23","5880","1.4","1373.88"
"Santa Cruz do Escalvado (MG)","2018","56","56","476","407","382.96","10012","2.1","2010.97"
"Santa Efigênia de Minas (MG)","2018","44","44","415","363","378.44","6769","1.4","1375.97"
"Santa Fé de Minas (MG)","2018","37","37","405","372","362.79","6072","1.3","1287.54"
"Santa Helena de Minas (MG)","2018","64","62","376","335","326.91","6434","1.6","1513.94"
"Santa Juliana (MG)","2018","362","357","3277","2932","3219.89","95884","2.4","2290.67"
"Santa Luzia (MG)","2018","2927","2822","28196","24229","23742.34","706015","2.4","2287.43"
"Santa Margarida (MG)","2018","421","417","1391","933","995.17","19991","1.6","1545.25"
"Santa Maria de Itabira (MG)","2018","211","208","1670","1376","1394.77","26639","1.5","1469.17"
"Santa Maria do Salto (MG)","2018","60","60","382","330","335.44","6322","1.5","1449.84"
"Santa Maria do Suaçuí (MG)","2018","220","219","1318","1082","1171.68","21134","1.5","1387.50"
"Santana da Vargem (MG)","2018","193","188","1124","890","963.65","21759","1.8","1736.91"
"Santana de Cataguases (MG)","2018","69","69","445","372","376.30","7937","1.7","1622.53"
"Santana de Pirapama (MG)","2018","84","84","494","430","453.17","10862","1.9","1843.81"
"Santana do Deserto (MG)","2018","48","47","425","371","404.32","10706","2.1","2036.83"
"Santana do Garambéu (MG)","2018","34","32","260","235","236.39","5397","1.8","1756.32"
"Santana do Jacaré (MG)","2018","90","88","651","541","578.29","12258","1.7","1630.50"
"Santana do Manhuaçu (MG)","2018","104","104","730","602","629.97","11001","1.4","1343.24"
"Santana do Paraíso (MG)","2018","666","655","5234","4453","4430.59","105233","1.9","1827.03"
"Santana do Riacho (MG)","2018","154","150","885","697","649.86","12858","1.6","1522.04"
"Santana dos Montes (MG)","2018","62","62","420","364","353.29","8219","1.9","1789.64"
"Santa Rita de Caldas (MG)","2018","183","174","1168","947","944.06","23113","2.0","1883.24"
"Santa Rita de Jacutinga (MG)","2018","113","111","663","539","539.91","9056","1.4","1290.31"
"Santa Rita de Minas (MG)","2018","111","109","929","794","905.40","16380","1.5","1391.66"
"Santa Rita de Ibitipoca (MG)","2018","53","53","416","367","382.94","8009","1.7","1608.78"
"Santa Rita do Itueto (MG)","2018","69","69","476","405","473.45","9817","1.7","1595.00"
"Santa Rita do Sapucaí (MG)","2018","1549","1504","13268","11236","11466.88","357899","2.5","2400.89"
"Santa Rosa da Serra (MG)","2018","43","43","377","335","372.83","8183","1.8","1688.32"
"Santa Vitória (MG)","2018","623","613","5008","4325","4748.18","145649","2.5","2359.59"
"Santo Antônio do Amparo (MG)","2018","339","332","2418","1993","2215.45","48341","1.8","1678.44"
"Santo Antônio do Aventureiro (MG)","2018","74","73","496","421","416.37","8765","1.7","1619.29"
"Santo Antônio do Grama (MG)","2018","72","71","424","354","354.03","7866","1.8","1709.15"
"Santo Antônio do Itambé (MG)","2018","21","20","312","288","304.51","6234","1.7","1574.90"
"Santo Antônio do Jacinto (MG)","2018","124","122","781","614","641.20","12239","1.5","1468.23"
"Santo Antônio do Monte (MG)","2018","859","822","5862","4759","4951.12","103857","1.7","1613.57"
"Santo Antônio do Retiro (MG)","2018","60","60","388","341","426.25","7852","1.5","1417.07"
"Santo Antônio do Rio Abaixo (MG)","2018","28","28","233","203","205.30","4575","1.8","1714.14"
"Santo Hipólito (MG)","2018","41","39","287","249","250.11","5628","1.8","1730.99"
"Santos Dumont (MG)","2018","1033","986","7441","5963","6192.12","152629","2.0","1896.07"
"São Bento Abade (MG)","2018","48","48","305","252","272.43","8514","2.5","2403.91"
"São Brás do Suaçuí (MG)","2018","123","122","640","479","534.15","12701","1.9","1829.08"
"São Domingos das Dores (MG)","2018","94","94","558","455","491.28","10079","1.7","1578.07"
"São Domingos do Prata (MG)","2018","320","317","2283","1895","1969.51","41031","1.7","1602.54"
"São Félix de Minas (MG)","2018","50","49","409","354","381.70","6451","1.4","1300.06"
"São Francisco (MG)","2018","784","772","4177","3412","3423.57","74597","1.8","1676.11"
"São Francisco de Paula (MG)","2018","116","111","686","561","616.09","13010","1.7","1624.40"
"São Francisco de Sales (MG)","2018","98","97","884","765","824.76","17452","1.7","1627.72"
"São Francisco do Glória (MG)","2018","85","84","450","363","369.23","7657","1.7","1595.19"
"São Geraldo (MG)","2018","197","196","2589","2327","2169.95","47719","1.8","1691.62"
"São Geraldo da Piedade (MG)","2018","31","31","298","264","311.67","5591","1.4","1379.88"
"São Geraldo do Baixio (MG)","2018","48","46","379","328","362.48","6434","1.4","1365.37"
"São Gonçalo do Abaeté (MG)","2018","167","164","1622","1429","1330.93","29639","1.8","1713.01"
"São Gonçalo do Pará (MG)","2018","244","239","2522","2152","2211.37","48461","1.8","1685.73"
"São Gonçalo do Rio Abaixo (MG)","2018","249","246","5067","4783","4415.06","170145","3.1","2964.41"
"São Gonçalo do Sapucaí (MG)","2018","548","527","4135","3567","3459.49","78694","1.8","1749.80"
"São Gotardo (MG)","2018","1179","1148","8372","6615","6826.41","174745","2.1","1969.11"
"São João Batista do Glória (MG)","2018","164","162","996","812","848.42","18649","1.8","1690.85"
"São João da Lagoa (MG)","2018","62","62","339","310","370.39","6960","1.5","1445.41"
"São João da Mata (MG)","2018","66","66","336","264","263.08","5909","1.8","1727.86"
"São João da Ponte (MG)","2018","280","275","1442","1185","1483.96","29855","1.6","1547.58"
"São João das Missões (MG)","2018","52","52","551","495","599.29","12612","1.7","1618.80"
"São João del Rei (MG)","2018","2713","2595","22648","19221","19364.39","604228","2.5","2400.23"
"São João do Manhuaçu (MG)","2018","212","208","1086","844","874.85","17157","1.6","1508.55"
"São João do Manteninha (MG)","2018","168","158","1092","904","993.17","17749","1.4","1374.68"
"São João do Oriente (MG)","2018","142","140","778","640","647.51","14018","1.7","1665.36"
"São João do Pacuí (MG)","2018","36","36","311","290","328.54","5671","1.4","1327.80"
"São João do Paraíso (MG)","2018","437","422","2381","1906","1927.94","34450","1.4","1374.54"
"São João Evangelista (MG)","2018","253","249","1426","1111","1183.25","22817","1.6","1483.32"
"São João Nepomuceno (MG)","2018","957","923","6364","5181","5470.88","100664","1.5","1415.38"
"São Joaquim de Bicas (MG)","2018","455","451","6146","5536","5626.49","158385","2.3","2165.37"
"São José da Barra (MG)","2018","137","133","1011","869","929.04","54464","4.7","4509.52"
"São José da Lapa (MG)","2018","407","404","4953","4352","4626.34","147701","2.6","2455.86"
"São José da Safira (MG)","2018","54","53","438","390","417.15","7923","1.5","1461.03"
"São José da Varginha (MG)","2018","84","75","502","436","435.11","8940","1.7","1580.54"
"São José do Alegre (MG)","2018","75","75","399","311","308.90","7229","1.9","1800.10"
"São José do Divino (MG)","2018","72","72","346","275","327.95","6127","1.5","1437.07"
"São José do Goiabal (MG)","2018","103","98","565","451","518.63","11102","1.7","1646.59"
"São José do Jacuri (MG)","2018","85","84","560","479","515.67","9607","1.5","1433.09"
"São José do Mantimento (MG)","2018","32","32","268","240","289.33","5585","1.6","1484.88"
"São Lourenço (MG)","2018","1874","1798","13052","10563","10406.99","236525","1.8","1748.27"
"São Miguel do Anta (MG)","2018","105","105","539","412","501.77","10431","1.7","1599.08"
"São Pedro da União (MG)","2018","101","98","542","449","461.30","10469","1.8","1745.79"
"São Pedro dos Ferros (MG)","2018","148","139","1124","960","976.61","20601","1.7","1622.64"
"São Pedro do Suaçuí (MG)","2018","74","74","452","392","431.19","8311","1.6","1482.58"
"São Romão (MG)","2018","124","124","790","681","681.98","12875","1.5","1452.18"
"São Roque de Minas (MG)","2018","202","197","1138","915","953.35","23576","2.0","1902.32"
"São Sebastião da Bela Vista (MG)","2018","139","138","1357","1209","1223.04","28985","1.9","1823.00"
"São Sebastião da Vargem Alegre (MG)","2018","65","64","371","309","314.26","6543","1.7","1601.57"
"São Sebastião do Anta (MG)","2018","79","77","536","454","471.98","9221","1.6","1502.86"
"São Sebastião do Maranhão (MG)","2018","124","124","543","461","480.41","8379","1.4","1341.57"
"São Sebastião do Oeste (MG)","2018","176","174","3577","3342","3466.83","113077","2.6","2508.98"
"São Sebastião do Paraíso (MG)","2018","2460","2379","18866","15322","15787.29","369457","1.9","1800.17"
"São Sebastião do Rio Preto (MG)","2018","18","18","242","225","221.61","4613","1.7","1601.20"
"São Sebastião do Rio Verde (MG)","2018","53","50","378","316","334.34","7029","1.7","1617.13"
"São Tiago (MG)","2018","323","311","1870","1518","1538.83","31019","1.6","1550.58"
"São Tomás de Aquino (MG)","2018","174","168","1038","804","812.51","18360","1.8","1738.21"
"São Thomé das Letras (MG)","2018","223","215","1449","1189","1257.75","24914","1.6","1523.71"
"São Vicente de Minas (MG)","2018","214","204","1469","1196","1196.87","26826","1.8","1724.13"
"Sapucaí-Mirim (MG)","2018","167","164","1379","1178","1193.73","24300","1.6","1565.84"
"Sardoá (MG)","2018","76","76","506","414","535.17","9691","1.5","1392.93"
"Sarzedo (MG)","2018","621","615","7517","6751","6727.08","204733","2.5","2341.09"
"Setubinha (MG)","2018","64","64","413","353","484.30","8382","1.4","1331.32"
"Sem-Peixe (MG)","2018","32","32","312","272","273.33","5308","1.6","1493.70"
"Senador Amaral (MG)","2018","88","87","612","520","508.91","10029","1.6","1515.89"
"Senador Cortes (MG)","2018","35","35","391","360","376.44","5958","1.3","1217.58"
"Senador Firmino (MG)","2018","160","158","854","663","757.42","14200","1.5","1442.13"
"Senador José Bento (MG)","2018","33","33","234","198","219.78","4365","1.6","1527.61"
"Senador Modestino Gonçalves (MG)","2018","61","59","404","358","350.82","6969","1.6","1528.15"
"Senhora de Oliveira (MG)","2018","97","97","557","443","454.41","9597","1.7","1624.62"
"Senhora do Porto (MG)","2018","28","28","310","281","298.95","6035","1.6","1552.92"
"Senhora dos Remédios (MG)","2018","109","108","778","642","616.29","12166","1.6","1518.53"
"Sericita (MG)","2018","128","126","833","673","661.70","11461","1.4","1332.31"
"Seritinga (MG)","2018","49","48","437","378","352.61","7865","1.8","1715.75"
"Serra Azul de Minas (MG)","2018","31","31","345","318","317.00","5305","1.3","1287.31"
"Serra da Saudade (MG)","2018","11","11","190","181","184.39","3968","1.7","1655.56"
"Serra dos Aimorés (MG)","2018","82","82","853","785","756.19","17015","1.8","1730.84"
"Serra do Salitre (MG)","2018","292","285","2782","2469","1773.99","65807","3.0","2853.51"
"Serrania (MG)","2018","144","140","931","767","787.26","17335","1.8","1693.81"
"Serranópolis de Minas (MG)","2018","36","36","293","263","307.70","5952","1.6","1487.92"
"Serranos (MG)","2018","36","36","192","156","169.28","4365","2.1","1983.36"
"Serro (MG)","2018","338","327","2255","1788","1822.10","39627","1.8","1672.91"
"Sete Lagoas (MG)","2018","6318","6037","63279","55250","53949.92","1588841","2.4","2265.41"
"Silveirânia (MG)","2018","50","50","250","209","217.93","4880","1.8","1722.33"
"Silvianópolis (MG)","2018","151","147","899","716","780.79","15776","1.6","1554.29"
"Simão Pereira (MG)","2018","59","59","384","311","356.99","8686","2.0","1871.65"
"Simonésia (MG)","2018","275","273","1483","1123","1101.90","21018","1.5","1467.23"
"Sobrália (MG)","2018","79","79","540","449","503.68","10486","1.7","1601.48"
"Soledade de Minas (MG)","2018","84","83","568","452","451.97","10267","1.8","1747.46"
"Tabuleiro (MG)","2018","66","63","609","529","499.53","9056","1.5","1394.50"
"Taiobeiras (MG)","2018","942","904","5293","4140","4259.96","82157","1.6","1483.54"
"Taparuba (MG)","2018","40","40","420","375","377.79","6966","1.5","1418.32"
"Tapira (MG)","2018","76","75","1869","1786","2011.63","116474","4.7","4453.88"
"Tapiraí (MG)","2018","19","19","214","202","208.49","4614","1.8","1702.24"
"Taquaraçu de Minas (MG)","2018","57","56","537","446","456.60","9983","1.8","1681.86"
"Tarumirim (MG)","2018","331","326","1307","931","1157.75","20001","1.4","1328.87"
"Teixeiras (MG)","2018","240","234","1329","1116","1199.36","22015","1.5","1412.00"
"Teófilo Otoni (MG)","2018","3549","3373","30850","26157","24874.57","557606","1.8","1724.36"
"Timóteo (MG)","2018","2051","1998","18205","15433","16125.32","517260","2.6","2467.50"
"Tiradentes (MG)","2018","476","457","2651","2004","1967.55","36378","1.5","1422.24"
"Tiros (MG)","2018","151","149","934","763","772.08","21071","2.2","2099.28"
"Tocantins (MG)","2018","503","489","3346","2659","2785.81","58268","1.7","1608.91"
"Tocos do Moji (MG)","2018","77","73","343","260","271.75","5832","1.7","1650.78"
"Toledo (MG)","2018","148","145","764","618","694.71","12356","1.4","1368.17"
"Tombos (MG)","2018","196","194","1170","900","903.59","16654","1.5","1417.77"
"Três Corações (MG)","2018","1948","1865","16607","14260","15268.88","397472","2.1","2002.43"
"Três Marias (MG)","2018","892","877","6624","5679","6018.57","175136","2.3","2238.41"
"Três Pontas (MG)","2018","1476","1428","12149","10487","10026.37","238195","1.9","1827.45"
"Tumiritinga (MG)","2018","62","61","304","239","437.89","7220","1.3","1268.38"
"Tupaciguara (MG)","2018","734","716","4742","3860","4020.36","112895","2.3","2160.07"
"Turmalina (MG)","2018","527","497","3416","2843","3216.49","69592","1.7","1664.30"
"Turvolândia (MG)","2018","112","109","787","639","638.78","13534","1.7","1629.77"
"Ubá (MG)","2018","3670","3560","30253","25377","25517.85","566265","1.8","1706.99"
"Ubaí (MG)","2018","90","89","749","665","657.65","11403","1.4","1333.77"
"Ubaporanga (MG)","2018","214","212","1187","983","998.69","19598","1.6","1509.52"
"Uberaba (MG)","2018","11476","10846","97793","83197","84724.14","2936045","2.8","2665.71"
"Uberlândia (MG)","2018","27896","26258","239710","207060","208394.71","6982886","2.7","2577.54"
"Umburatiba (MG)","2018","33","32","284","257","268.33","5759","1.7","1650.86"
"Unaí (MG)","2018","2522","2462","17027","13825","13771.19","367244","2.2","2051.35"
"União de Minas (MG)","2018","58","57","409","357","422.45","8276","1.6","1506.98"
